productname
Cocoa
Coffee
Tea
Amphophalus
Bajra(Pearl Millet/Cumbu)
Barley (Jau)
Beaten Rice
Foxtail Millet(Navane)
Hybrid Cumbu
Jowar(Sorghum)
Kodo Millet(Varagu)
Maize
Paddy(Dhan)(Basmati)
Paddy(Dhan)(Common)
Ragi (Finger Millet)
Rice
Sajje
Same/Savi
Soji
T.V. Cumbu
Wheat
Arecanut(Betelnut/Supari)
Betal Leaves
Isabgul (Psyllium)
Mahua
Myrobolan(Harad)
Tobacco
Almond(Badam)
Cashewnuts
Dry Grapes
Walnut
Cotton
Jute
Lint
Sunhemp
Anthorium
Astera
BOP
Carnation
Chrysanthemum
Chrysanthemum(Loose)
Daila(Chandni)
Delha
Gladiolus Bulb
Gladiolus Cut Flower
Jaffri
Jarbara
Lotus
Marget
Marigold(Calcutta)
Marigold(loose)
Orchid
Patti Calcutta
Raibel
Rose(Local)
Rose(Loose)
Rose(Tata)
Tube Flower
Tube Rose(Double)
Tube Rose(Loose)
Tube Rose(Single)
Ambada Seed
Antawala
Bamboo
Bay leaf (Tejpatta)
Broomstick(Flower Broom)
Cane
Firewood
Flower Broom
Hippe Seed
Jute Seed
Mahua Seed(Hippe seed)
Neem Seed
Pundi Seed
Resinwood
Soapnut(Antawala/Retha)
Tamarind Fruit
Tamarind Seed
Torchwood
Wood
Amla(Nelli Kai)
Apple
Apricot(Jardalu/Khumani)
Banana
Ber(Zizyphus/Borehannu)
Borehannu
Chakotha
Cherry
Chikoos(Sapota)
Custard Apple (Sharifa)
Grapes
Guava
Jack Fruit
Jamun(Narale Hannu)
Karbuja(Musk Melon)
Kinnow
Lime
Litchi
Lukad
Mango
Marasebu
Mousambi(Sweet Lime)
Nearle Hannu
Nelli Kai
Orange
Papaya
Peach
Pear(Marasebu)
Persimon(Japani Fal)
Pineapple
Plum
Pomegranate
Seetafal
Siddota
Tender Coconut
Water Melon
Bull
Calf
Cock
Cow
Duck
Egg
Fish
Goat
He Buffalo
Hen
Ox
Pigs
Ram
She Buffalo
She Goat
Sheep
Castor Seed
Coconut Seed
Copra
Cotton Seed
Ground Nut Seed
Groundnut
Groundnut (Split)
Gurellu
Honge seed
Linseed
Mustard
Niger Seed (Ramtil)
Safflower
Soyabean
Sunflower
Sunflower Seed
Suva (Dill Seed)
Taramira
Toria
Butter
Castor Oil
Coconut Oil
Dalda
Ghee
Gingelly Oil
Ground Nut Oil
Mustard Oil
Bran
Broken Rice
Bunch Beans
Camel Hair
Cashew Kernnel
Coconut
Dhaincha
Dry Fodder
Egypian Clover(Barseem)
Fig(Anjura/Anjeer)
Goat Hair
Gramflour
Green Fodder
Gur(Jaggery)
Haralekai
Honey
Jaggery
Javi
Kharif Mash
Khoya
Kuchur
Mahedi
Maida Atta
Maragensu
Mash
Millets
Nargasi
Polherb
Pundi
Rajgir
Raya
Riccbcan
Rubber
Sabu Dana
Sarasum
Seegu
Skin And Hide
Sompu
Sugar
Sugarcane
Suram
Wheat Atta
Wool
Yam
Alasande Gram
Arhar (Tur/Red Gram)(Whole)
Arhar Dal(Tur Dal)
Avare Dal
Beans
Bengal Gram Dal (Chana Dal)
Bengal Gram(Gram)(Whole)
Big Gram
Black Gram (Urd Beans)(Whole)
Black Gram Dal (Urd Dal)
Bullar
Chennangi (Whole)
Chennangi Dal
Cowpea (Lobia/Karamani)
Dal (Avare)
Green Gram (Moong)(Whole)
Green Gram Dal (Moong Dal)
Green Peas
Kabuli Chana(Chickpeas-White)
Karamani
Kulthi(Horse Gram)
Lak(Teora)
Lentil (Masur)(Whole)
Masur Dal
Mataki
Moath Dal
Moath Dal
Other Pulses
Peas(Dry)
Red Gram
Thinai (Italian Millet)
White Peas
Ajwan
Betelnuts
Black pepper
Cardamoms
Chili Red
Cinamon(Dalchini)
Cloves
Coca
Coconut
Corriander seed
Cummin Seed(Jeera)
Dry Chillies
Garlic
Ginger(Dry)
Kacholam
Mace
Methi Seeds
Nutmeg
Pepper garbled
Pepper ungarbled
Saffron
Soanf
Turmeric
Alsandikai
Amaranthus
Ashgourd
Balekai
Banana - Green
Beetroot
Bhindi(Ladies Finger)
Binoula
Bitter gourd
Bottle gourd
Brinjal
Cabbage
Capsicum
Carrot
Cauliflower
Chapparad Avare
Chilly Capsicum
Chow Chow
Cluster beans
Colacasia
Coriander(Leaves)
Cowpea(Veg)
Cucumbar(Kheera)
Drumstick
Duster Beans
Elephant Yam (Suran)
Field Pea
French Beans (Frasbean)
Galgal(Lemon)
Ginger(Green)
Gram Raw(Chholia)
Green Avare (W)
Green Chilli
Groundnut pods (raw)
Guar
Indian Beans (Seam)
Indian Colza(Sarson)
Jamamkhan
Kartali (Kantola)
Knool Khol
Ladies Finger
Leafy Vegetable
Lemon
Little gourd (Kundru)
Long Melon(Kakri)
Lotus Sticks
Mango (Raw-Ripe)
Mashrooms
Methi(Leaves)
Mint(Pudina)
Onion
Onion Green
Papaya (Raw)
Peas cod
Peas Wet
Pegeon Pea (Arhar Fali)
Pointed gourd (Parval)
Potato
Pumpkin
Raddish
Rat Tail Radish (Mogari)
Ridge gourd(Tori)
Round gourd
Season Leaves
Seemebadnekai
Snake gourd
Spinach
Sponge gourd
Squash(Chappal Kadoo)
Surat Beans (Papadi)
Suvarna Gadde
Sweet Potato
Sweet Pumpkin
Tapioca
Thogrikai
Thondekai
Tinda
Tomato
Turmeric (raw)
Turnip
White Pumpkin
Yam (Ratalu)
