"Commodity-wise, Market-wise Daily Report on : 20/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Alappuzha,1,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Aroor,0.1,Tonnes,NR,Amphophalus,2000,2200,2100,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,2000,2200,2100,Rs/Quintal
Keezhampara,0.7,Tonnes,NR,Amphophalus,1700,1900,1800,Rs/Quintal
Madhavapuram,2.5,Tonnes,NR,Other,3500,3800,3700,Rs/Quintal
Mukkom,0.7,Tonnes,NR,Amphophalus,2400,2800,2600,Rs/Quintal
Thirurrangadi,1,Tonnes,NR,Amphophalus,2500,2850,2750,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Gogamba(Similiya),4,Tonnes,NR,Other,1550,1600,1575,Rs/Quintal
Khambhat(Grain Market),0.1,Tonnes,NR,Other,1880,1920,1900,Rs/Quintal
Umreth,4.7,Tonnes,NR,Deshi,1800,1850,1845,Rs/Quintal
Karnataka,,,,,,,,
Kustagi,50,Tonnes,NR,Hybrid,1750,1750,1750,Rs/Quintal
Ramdurga,5,Tonnes,NR,Local,1600,1800,1675,Rs/Quintal
Madhya Pradesh,,,,,,,,
Lahar,11,Tonnes,NR,Other,1700,1724,1718,Rs/Quintal
Mow,2.9,Tonnes,NR,Other,1600,1600,1600,Rs/Quintal
Maharashtra,,,,,,,,
Kannad,1,Tonnes,NR,Other,1750,1850,1800,Rs/Quintal
Paithan,NR,Tonnes,NR,Other,1930,1930,1930,Rs/Quintal
Palthan,4,Tonnes,NR,Other,1800,2400,2000,Rs/Quintal
Rahuri,1,Tonnes,NR,Other,1300,1900,1600,Rs/Quintal
Shevgaon,NR,Tonnes,NR,Other,1400,1400,1400,Rs/Quintal
Sinner,2,Tonnes,NR,Other,1750,2005,1800,Rs/Quintal
NCT of Delhi,,,,,,,,
Najafgarh,5.5,Tonnes,NR,Deshi,1650,1750,1700,Rs/Quintal
Narela,1,Tonnes,NR,Deshi,1720,1861,1720,Rs/Quintal
Rajasthan,,,,,,,,
Bandikui,48,Tonnes,NR,Other,1742,1825,1784,Rs/Quintal
Kishan Renwal(Fulera),4.5,Tonnes,NR,Other,1708,1708,1708,Rs/Quintal
Kishangarh Renwal,12,Tonnes,NR,Other,1700,1800,1750,Rs/Quintal
Kotputli,1,Tonnes,NR,Local,1600,1800,1700,Rs/Quintal
Lalsot,9.6,Tonnes,NR,Other,1710,1836,1808,Rs/Quintal
Lalsot(Mandabari),18.1,Tonnes,NR,Other,1650,1785,1717,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achnera,1.5,Tonnes,NR,Deshi,1650,1750,1700,Rs/Quintal
Ajuha,1.8,Tonnes,NR,Deshi,1350,1420,1390,Rs/Quintal
Aliganj,34,Tonnes,NR,Deshi,1550,1650,1600,Rs/Quintal
Anoop Shahar,55,Tonnes,NR,Hybrid,1500,1520,1510,Rs/Quintal
Atrauli,55,Tonnes,NR,Hybrid,1580,1600,1590,Rs/Quintal
Awagarh,10,Tonnes,NR,Hybrid,1650,1700,1680,Rs/Quintal
Bhehjoi,11,Tonnes,NR,Deshi,1500,1600,1550,Rs/Quintal
Dibiapur,11,Tonnes,NR,Hybrid,1450,1550,1500,Rs/Quintal
Divai,6,Tonnes,NR,Hybrid,1480,1500,1490,Rs/Quintal
Etah,90,Tonnes,NR,Hybrid,1600,1710,1680,Rs/Quintal
Fatehabad,10,Tonnes,NR,Deshi,1600,1650,1620,Rs/Quintal
Ganjdudwara,23,Tonnes,NR,Local,1430,1470,1450,Rs/Quintal
Jangipura,7,Tonnes,NR,Deshi,1530,1580,1560,Rs/Quintal
