"Commodity-wise, Market-wise Daily Report on : 13/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Kayamkulam,1,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Keezhampara,0.5,Tonnes,NR,Amphophalus,1800,2000,1900,Rs/Quintal
Parappanangadi,1,Tonnes,NR,Other,2800,3100,2950,Rs/Quintal
Thirurrangadi,0.6,Tonnes,NR,Amphophalus,1500,1850,1650,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Gogamba(Similiya),2,Tonnes,NR,Other,1525,1575,1550,Rs/Quintal
Khambhat(Grain Market),0.1,Tonnes,NR,Other,1880,1920,1900,Rs/Quintal
Karnataka,,,,,,,,
Kustagi,50,Tonnes,NR,Hybrid,1730,1730,1730,Rs/Quintal
Ramdurga,6,Tonnes,NR,Local,1600,1880,1770,Rs/Quintal
Maharashtra,,,,,,,,
Dound,NR,Tonnes,NR,Other,1511,1511,1511,Rs/Quintal
Kannad,1,Tonnes,NR,Other,1750,1850,1800,Rs/Quintal
Paithan,NR,Tonnes,NR,Other,1500,1500,1500,Rs/Quintal
Palthan,15,Tonnes,NR,Other,1800,2500,2200,Rs/Quintal
Rahuri,NR,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Shevgaon,1,Tonnes,NR,Other,2300,2300,2300,Rs/Quintal
Sinner,3,Tonnes,NR,Other,1400,2050,1706,Rs/Quintal
NCT of Delhi,,,,,,,,
Najafgarh,2,Tonnes,NR,Deshi,1600,1600,1600,Rs/Quintal
Narela,1.4,Tonnes,NR,Deshi,1700,1776,1711,Rs/Quintal
Rajasthan,,,,,,,,
Bandikui,47,Tonnes,NR,Other,1650,1726,1688,Rs/Quintal
Deedwana,5,Tonnes,NR,Local,1550,1650,1600,Rs/Quintal
Deedwana(Choti Khatu),13.7,Tonnes,NR,Local,1600,1675,1625,Rs/Quintal
Jodhpur (Grain)(Mandor),1.1,Tonnes,NR,Other,1600,1900,1750,Rs/Quintal
Jodhpur(Grain)(Bhagat Ki Kothi),2,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Kishan Renwal(Fulera),3.3,Tonnes,NR,Other,1700,1700,1700,Rs/Quintal
Kishangarh Renwal,60,Tonnes,NR,Other,1550,1650,1600,Rs/Quintal
Kotputli,26,Tonnes,NR,Local,1600,1700,1650,Rs/Quintal
Lalsot,13.4,Tonnes,NR,Other,1560,1735,1700,Rs/Quintal
Lalsot(Mandabari),14.4,Tonnes,NR,Other,1613,1770,1691,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achnera,2,Tonnes,NR,Deshi,1650,1750,1700,Rs/Quintal
Ajuha,2,Tonnes,NR,Deshi,1360,1400,1375,Rs/Quintal
Aliganj,54,Tonnes,NR,Deshi,1400,1500,1450,Rs/Quintal
Anoop Shahar,53,Tonnes,NR,Hybrid,1500,1520,1510,Rs/Quintal
Atrauli,12,Tonnes,NR,Hybrid,1430,1450,1440,Rs/Quintal
Awagarh,12,Tonnes,NR,Hybrid,1580,1650,1600,Rs/Quintal
Bangarmau,5,Tonnes,NR,Hybrid,1350,1400,1375,Rs/Quintal
Bhehjoi,13,Tonnes,NR,Deshi,1500,1600,1550,Rs/Quintal
Bilsi,53,Tonnes,NR,Hybrid,1550,1650,1600,Rs/Quintal
Charra,48,Tonnes,NR,Hybrid,1550,1625,1590,Rs/Quintal
Dibiapur,3.6,Tonnes,NR,Hybrid,1450,1550,1500,Rs/Quintal
Divai,7,Tonnes,NR,Hybrid,1580,1600,1590,Rs/Quintal
Etah,110,Tonnes,NR,Hybrid,1600,1660,1640,Rs/Quintal
Fatehabad,15,Tonnes,NR,Deshi,1600,1650,1630,Rs/Quintal
