"Commodity-wise, Market-wise Daily Report on : 26/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Alappuzha,10,Tonnes,NR,Other,2800,2900,2850,Rs/Quintal
Aralamoodu,1.5,Tonnes,NR,Amphophalus,3000,3000,3000,Rs/Quintal
Aroor,0.1,Tonnes,NR,Amphophalus,1800,2000,1900,Rs/Quintal
Chengannur,2,Tonnes,NR,Other,2400,2700,2500,Rs/Quintal
Harippad,1,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Kanjirappally,1.25,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Keezhampara,0.1,Tonnes,NR,Amphophalus,1700,1900,1800,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,3500,3700,3600,Rs/Quintal
Madhavapuram,2,Tonnes,NR,Other,3400,3700,3600,Rs/Quintal
Mannar,1,Tonnes,NR,Other,3200,3600,3500,Rs/Quintal
Parappanangadi,0.8,Tonnes,NR,Other,2850,3200,3050,Rs/Quintal
Piravam,0.05,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Pothencode,2,Tonnes,NR,Other,4500,5500,5000,Rs/Quintal
Thirurrangadi,0.5,Tonnes,NR,Amphophalus,2800,3150,2950,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.2,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.1,Tonnes,NR,Other,1500,2500,2200,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Gogamba(Similiya),3.2,Tonnes,NR,Other,1580,1615,1600,Rs/Quintal
Khambhat(Grain Market),0.3,Tonnes,NR,Other,1940,2000,1980,Rs/Quintal
Vadodara,15.25,Tonnes,NR,Other,1850,1950,1950,Rs/Quintal
Madhya Pradesh,,,,,,,,
Sabalgarh,1.8,Tonnes,NR,Deshi,1729,1729,1729,Rs/Quintal
Maharashtra,,,,,,,,
Kannad,1,Tonnes,NR,Other,1750,1850,1800,Rs/Quintal
Sillod(Bharadi),1,Tonnes,NR,Other,1999,1999,1999,Rs/Quintal
Vaduj,1,Tonnes,NR,Other,1975,2010,2000,Rs/Quintal
Rajasthan,,,,,,,,
Chirwa,0.5,Tonnes,NR,Other,1800,1800,1800,Rs/Quintal
Deedwana(Choti Khatu),40,Tonnes,NR,Local,1750,1850,1800,Rs/Quintal
Fatehpur,9,Tonnes,NR,Other,1700,1800,1750,Rs/Quintal
Jhunjhunu,34,Tonnes,NR,Other,1700,1700,1700,Rs/Quintal
Jodhpur (Grain)(Mandor),7,Tonnes,NR,Other,1600,1850,1725,Rs/Quintal
Kotputli,14.1,Tonnes,NR,Local,1700,1900,1800,Rs/Quintal
Lalsot,3.2,Tonnes,NR,Other,1836,1936,1846,Rs/Quintal
Lalsot(Mandabari),14.7,Tonnes,NR,Other,1776,1949,1862,Rs/Quintal
Nagar,2.5,Tonnes,NR,Other,1800,1840,1820,Rs/Quintal
Nawalgarh,14.3,Tonnes,NR,Other,1700,1820,1760,Rs/Quintal
Sikar,0.9,Tonnes,NR,Other,1770,1770,1770,Rs/Quintal
Sri Madhopur,48.3,Tonnes,NR,Other,1770,1940,1855,Rs/Quintal
Tamil Nadu,,,,,,,,
Theni,NR,Tonnes,NR,Small,1860,2020,1940,Rs/Quintal
Uttar Pradesh,,,,,,,,
Ajuha,1,Tonnes,NR,Deshi,1380,1425,1400,Rs/Quintal
Aliganj,56,Tonnes,NR,Deshi,1600,1700,1650,Rs/Quintal
