"Commodity-wise, Market-wise Daily Report on : 12/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Aroor,0.1,Tonnes,NR,Amphophalus,2200,2400,2300,Rs/Quintal
Chengannur,2.5,Tonnes,NR,Other,2500,2800,2600,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2600,3000,2800,Rs/Quintal
Kanjirappally,1.75,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Keezhampara,0.5,Tonnes,NR,Amphophalus,1800,2000,1900,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2500,2700,2600,Rs/Quintal
Kottakkal,3,Tonnes,NR,Other,2100,2200,2150,Rs/Quintal
Madhavapuram,2.5,Tonnes,NR,Other,3000,3300,3200,Rs/Quintal
Moovattupuzha,4,Tonnes,NR,Other,2550,2800,2700,Rs/Quintal
Parappanangadi,2,Tonnes,NR,Other,2600,2900,2800,Rs/Quintal
Perinthalmanna,2.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Thamarassery,0.2,Tonnes,NR,Other,1800,2800,2400,Rs/Quintal
Thirurrangadi,1,Tonnes,NR,Amphophalus,2900,3100,2950,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.2,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.2,Tonnes,NR,Other,1500,2000,1800,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Becharaji,0.2,Tonnes,NR,Other,1525,1645,1585,Rs/Quintal
Borsad,0.5,Tonnes,NR,Other,1500,1675,1675,Rs/Quintal
Deesa,31.5,Tonnes,NR,Other,1810,1895,1850,Rs/Quintal
Deesa(Bhildi),14.8,Tonnes,NR,Other,1825,1870,1860,Rs/Quintal
Dehgam,2.9,Tonnes,NR,Other,1750,1865,1807,Rs/Quintal
Dehgam(Rekhiyal),0.2,Tonnes,NR,Other,1525,1575,1550,Rs/Quintal
Dhanera,18,Tonnes,NR,Hybrid,1830,2210,2020,Rs/Quintal
Gogamba(Similiya),1.2,Tonnes,NR,Other,1550,1590,1570,Rs/Quintal
Himatnagar,1,Tonnes,NR,Local,1500,1900,1700,Rs/Quintal
Jamnagar,0.1,Tonnes,NR,Other,1500,1890,1695,Rs/Quintal
Jasdan,0.1,Tonnes,NR,Deshi,1740,1740,1740,Rs/Quintal
Junagadh,0.2,Tonnes,NR,Bold,1600,1900,1800,Rs/Quintal
Kapadvanj,1.7,Tonnes,NR,Hybrid,1500,1750,1625,Rs/Quintal
Khambhat(Grain Market),0.1,Tonnes,NR,Other,1860,1900,1880,Rs/Quintal
Mangrol,23.5,Tonnes,NR,Hybrid,1625,1750,1700,Rs/Quintal
Mehsana(Jornang),0.2,Tonnes,NR,Local,2095,2170,2150,Rs/Quintal
Morbi,0.5,Tonnes,NR,Deshi,1855,1855,1855,Rs/Quintal
Palanpur,7,Tonnes,NR,Deshi,1800,1925,1862,Rs/Quintal
Patan,10,Tonnes,NR,Other,1700,1955,1825,Rs/Quintal
Rajkot,2.2,Tonnes,NR,Deshi,1445,1860,1550,Rs/Quintal
Rajula,0.8,Tonnes,NR,Local,1895,2475,2185,Rs/Quintal
Savarkundla,0.5,Tonnes,NR,Deshi,1650,2125,1888,Rs/Quintal
Siddhpur,5.99,Tonnes,NR,Deshi,1700,1925,1812,Rs/Quintal
Thara,8.6,Tonnes,NR,Other,1825,1935,1880,Rs/Quintal
Tharad,3.8,Tonnes,NR,Deshi,1850,1870,1860,Rs/Quintal
Tharad(Rah),4.8,Tonnes,NR,Deshi,1800,1875,1837,Rs/Quintal
