"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Alappuzha,1,Tonnes,NR,Other,2750,2850,2800,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Amphophalus,3000,3400,3200,Rs/Quintal
Aroor,0.2,Tonnes,NR,Amphophalus,2000,2200,2100,Rs/Quintal
Chengannur,2.5,Tonnes,NR,Other,2300,2600,2500,Rs/Quintal
Ernakulam,0.25,Tonnes,NR,Amphophalus,1600,2300,2000,Rs/Quintal
Harippad,1,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2600,3000,2800,Rs/Quintal
Kanjirappally,1.25,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,2100,2300,2200,Rs/Quintal
Kollam,0.5,Tonnes,NR,Other,2000,2200,2100,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2700,2900,2800,Rs/Quintal
Kottakkal,2,Tonnes,NR,Other,1900,2000,1950,Rs/Quintal
Madhavapuram,2,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Moovattupuzha,4,Tonnes,NR,Other,2650,2900,2750,Rs/Quintal
Mukkom,0.7,Tonnes,NR,Amphophalus,1800,2200,2000,Rs/Quintal
Neeleswaram,1,Tonnes,NR,Other,4000,4400,4200,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amphophalus,1600,2000,1800,Rs/Quintal
Palayam,10,Tonnes,NR,Other,2100,2300,2200,Rs/Quintal
Parappanangadi,1.5,Tonnes,NR,Other,2500,2850,2650,Rs/Quintal
Perinthalmanna,2.7,Tonnes,NR,Amphophalus,2500,3100,2800,Rs/Quintal
Quilandy,0.6,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Thamarassery,0.2,Tonnes,NR,Other,1900,3300,2400,Rs/Quintal
Thirurrangadi,1,Tonnes,NR,Amphophalus,2500,2950,2850,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,2000,2200,2200,Rs/Quintal
Thrippunithura,0.7,Tonnes,NR,Amphophalus,3000,4000,3400,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.1,Tonnes,NR,Other,1900,2000,2000,Rs/Quintal
Kurali,0.1,Tonnes,NR,Amphophalus,1950,2060,2000,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Amreli,0.1,Tonnes,NR,Other,1730,1730,1730,Rs/Quintal
Bhavnagar,4.4,Tonnes,NR,Local,1875,2305,2000,Rs/Quintal
Borsad,0.3,Tonnes,NR,Other,1500,1650,1650,Rs/Quintal
Deesa,68,Tonnes,NR,Other,1756,1826,1800,Rs/Quintal
Deesa(Bhildi),16.7,Tonnes,NR,Other,1780,1805,1800,Rs/Quintal
Dehgam,2.3,Tonnes,NR,Other,1700,1785,1742,Rs/Quintal
Dehgam(Rekhiyal),0.3,Tonnes,NR,Other,1525,1580,1552,Rs/Quintal
Derol,0.2,Tonnes,NR,Other,1560,1580,1570,Rs/Quintal
Derol(Adadara),0.1,Tonnes,NR,Other,1540,1570,1560,Rs/Quintal
Derol(Vejalpur),0.2,Tonnes,NR,Other,1570,1590,1580,Rs/Quintal
Dhanera,20,Tonnes,NR,Hybrid,1755,2020,1887,Rs/Quintal
Dhansura,0.5,Tonnes,NR,Hybrid,1650,1775,1740,Rs/Quintal
Gogamba(Similiya),0.2,Tonnes,NR,Other,1500,1600,1550,Rs/Quintal
Himatnagar,1,Tonnes,NR,Local,1500,1875,1700,Rs/Quintal
Jasdan,0.5,Tonnes,NR,Deshi,1400,1695,1600,Rs/Quintal
