"Commodity-wise, Market-wise Daily Report on : 16/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Alappuzha,1,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Amphophalus,2600,3000,2800,Rs/Quintal
Aralamoodu,0.8,Tonnes,NR,Amphophalus,3000,3000,3000,Rs/Quintal
Aroor,NR,Tonnes,NR,Amphophalus,2000,2200,2100,Rs/Quintal
Chengannur,2.5,Tonnes,NR,Other,2300,2600,2500,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Amphophalus,1600,2300,1800,Rs/Quintal
Harippad,2,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Kollam,0.4,Tonnes,NR,Other,2400,2700,2600,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2600,2800,2700,Rs/Quintal
Kottakkal,2,Tonnes,NR,Other,1950,2100,2000,Rs/Quintal
Mannar,1,Tonnes,NR,Other,3500,3700,3600,Rs/Quintal
Moovattupuzha,4,Tonnes,NR,Other,2600,2900,2750,Rs/Quintal
Mukkom,0.7,Tonnes,NR,Amphophalus,2800,3400,3000,Rs/Quintal
Neeleswaram,1,Tonnes,NR,Other,3800,4200,4000,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amphophalus,2500,3000,2700,Rs/Quintal
Palayam,10,Tonnes,NR,Other,2100,2300,2200,Rs/Quintal
Parappanangadi,0.3,Tonnes,NR,Other,2800,3650,3500,Rs/Quintal
Perinthalmanna,2.3,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Piravam,0.05,Tonnes,NR,Other,2000,2500,2200,Rs/Quintal
Punalur,0.3,Tonnes,NR,Amphophalus,2200,2600,2400,Rs/Quintal
Quilandy,0.6,Tonnes,NR,Other,2200,2500,2300,Rs/Quintal
Thamarassery,0.03,Tonnes,NR,Other,2100,3000,2400,Rs/Quintal
Thirurrangadi,1,Tonnes,NR,Amphophalus,2800,2950,2800,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Thrippunithura,0.7,Tonnes,NR,Amphophalus,3000,4000,3400,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.1,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.2,Tonnes,NR,Other,1500,2000,1800,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Becharaji,0.4,Tonnes,NR,Other,1610,1730,1670,Rs/Quintal
Bhavnagar,0.4,Tonnes,NR,Local,1930,1930,1930,Rs/Quintal
Borsad,0.5,Tonnes,NR,Other,1500,1650,1650,Rs/Quintal
Botad,0.1,Tonnes,NR,Other,1855,1855,1855,Rs/Quintal
Dahod,1.2,Tonnes,NR,Other,1350,1750,1700,Rs/Quintal
Deesa,75.1,Tonnes,NR,Other,1855,1963,1925,Rs/Quintal
Deesa(Bhildi),22.4,Tonnes,NR,Other,1865,1895,1880,Rs/Quintal
Dehgam,2.3,Tonnes,NR,Other,1750,1850,1800,Rs/Quintal
Dehgam(Rekhiyal),0.3,Tonnes,NR,Other,1600,1725,1662,Rs/Quintal
Derol,0.3,Tonnes,NR,Other,1560,1580,1570,Rs/Quintal
Derol(Adadara),0.1,Tonnes,NR,Other,1550,1570,1560,Rs/Quintal
Derol(Vejalpur),0.2,Tonnes,NR,Other,1540,1560,1550,Rs/Quintal
Dhanera,13,Tonnes,NR,Hybrid,1855,2210,2032,Rs/Quintal
