"Commodity-wise, Market-wise Daily Report on : 31/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Angamaly,0.3,Tonnes,NR,Amphophalus,2500,3100,2800,Rs/Quintal
Aroor,0.1,Tonnes,NR,Amphophalus,2600,2800,2700,Rs/Quintal
Chengannur,2,Tonnes,NR,Other,2400,2700,2500,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Amphophalus,1600,2300,1800,Rs/Quintal
Harippad,2,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Kanjirappally,1.75,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Keezhampara,0.34,Tonnes,NR,Amphophalus,1700,1900,1800,Rs/Quintal
Kollam,0.3,Tonnes,NR,Other,2400,2700,2600,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2600,2800,2700,Rs/Quintal
Kottakkal,2,Tonnes,NR,Other,2160,2250,2200,Rs/Quintal
Kottarakkara,0.12,Tonnes,NR,Other,3100,3500,3300,Rs/Quintal
Madhavapuram,2.1,Tonnes,NR,Other,3200,3500,3400,Rs/Quintal
Mannar,1,Tonnes,NR,Other,3500,3700,3600,Rs/Quintal
Moovattupuzha,4,Tonnes,NR,Other,2600,2900,2750,Rs/Quintal
Mukkom,0.7,Tonnes,NR,Amphophalus,1800,2200,2000,Rs/Quintal
Neeleswaram,0.9,Tonnes,NR,Other,3800,4200,4000,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amphophalus,2300,2500,2400,Rs/Quintal
Palayam,10,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Parappanangadi,0.5,Tonnes,NR,Other,2850,3150,3000,Rs/Quintal
Perinthalmanna,2.2,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Piravam,0.05,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Punalur,0.4,Tonnes,NR,Amphophalus,2600,3000,2800,Rs/Quintal
Quilandy,0.5,Tonnes,NR,Other,2200,2500,2300,Rs/Quintal
Thirurrangadi,1.5,Tonnes,NR,Amphophalus,2500,2750,2650,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Thrippunithura,0.8,Tonnes,NR,Amphophalus,2800,3700,3200,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.1,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Kurali,0.2,Tonnes,NR,Amphophalus,1600,1800,1700,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.1,Tonnes,NR,Other,1500,2500,2200,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Amreli,0.2,Tonnes,NR,Other,1975,1975,1975,Rs/Quintal
Borsad,0.2,Tonnes,NR,Other,1550,1800,1800,Rs/Quintal
Deesa,79,Tonnes,NR,Other,1920,2000,1965,Rs/Quintal
Deesa(Bhildi),19,Tonnes,NR,Other,1970,1990,1980,Rs/Quintal
Dehgam,7.2,Tonnes,NR,Other,2095,2145,2120,Rs/Quintal
Dehgam(Rekhiyal),0.1,Tonnes,NR,Other,1800,1975,1887,Rs/Quintal
Derol,0.4,Tonnes,NR,Other,1560,1580,1570,Rs/Quintal
Derol(Adadara),0.2,Tonnes,NR,Other,1580,1610,1590,Rs/Quintal
Derol(Vejalpur),0.3,Tonnes,NR,Other,1580,1600,1590,Rs/Quintal
Dhanera,32,Tonnes,NR,Hybrid,1925,2385,2135,Rs/Quintal
Dhansura,0.5,Tonnes,NR,Hybrid,1675,1925,1900,Rs/Quintal
