"Commodity-wise, Market-wise Daily Report on : 06/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Kayamkulam,2,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Parappanangadi,1,Tonnes,NR,Other,2750,3000,2900,Rs/Quintal
Thirurrangadi,1.3,Tonnes,NR,Amphophalus,2800,2900,2850,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Karnataka,,,,,,,,
Kustagi,20,Tonnes,NR,Hybrid,1685,1685,1685,Rs/Quintal
Ramdurga,6,Tonnes,NR,Local,1600,1800,1700,Rs/Quintal
Madhya Pradesh,,,,,,,,
Lahar,14.1,Tonnes,NR,Other,1540,1560,1554,Rs/Quintal
Mow,1.5,Tonnes,NR,Other,1525,1525,1525,Rs/Quintal
Sabalgarh,1.3,Tonnes,NR,Deshi,1590,1590,1590,Rs/Quintal
Maharashtra,,,,,,,,
Dound,NR,Tonnes,NR,Other,2400,2400,2400,Rs/Quintal
Kannad,1,Tonnes,NR,Other,1750,1850,1800,Rs/Quintal
Paithan,NR,Tonnes,NR,Other,1776,2075,1800,Rs/Quintal
Palthan,15,Tonnes,NR,Other,1500,2401,2000,Rs/Quintal
Shevgaon,NR,Tonnes,NR,Other,1800,1800,1800,Rs/Quintal
Sinner,5,Tonnes,NR,Other,1633,1973,1826,Rs/Quintal
NCT of Delhi,,,,,,,,
Najafgarh,6.5,Tonnes,NR,Deshi,1700,1736,1718,Rs/Quintal
Narela,3.3,Tonnes,NR,Deshi,1641,1790,1790,Rs/Quintal
Rajasthan,,,,,,,,
Bandikui,52.5,Tonnes,NR,Other,1606,1670,1638,Rs/Quintal
Chaksu,33.3,Tonnes,NR,Other,1592,1793,1650,Rs/Quintal
Chirwa,4.2,Tonnes,NR,Other,1610,1610,1610,Rs/Quintal
Jodhpur(Grain)(Bhagat Ki Kothi),4,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Kishangarh Renwal,60.5,Tonnes,NR,Other,1540,1575,1557,Rs/Quintal
Lalsot,8.5,Tonnes,NR,Other,1475,1675,1621,Rs/Quintal
Lalsot(Mandabari),21,Tonnes,NR,Other,1635,1700,1667,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achnera,1.5,Tonnes,NR,Deshi,1600,1700,1650,Rs/Quintal
Ajuha,1.5,Tonnes,NR,Deshi,1360,1400,1380,Rs/Quintal
Aliganj,56,Tonnes,NR,Deshi,1400,1500,1450,Rs/Quintal
Anoop Shahar,55,Tonnes,NR,Hybrid,1500,1520,1510,Rs/Quintal
Atrauli,7,Tonnes,NR,Hybrid,1410,1430,1420,Rs/Quintal
Awagarh,20,Tonnes,NR,Hybrid,1500,1600,1550,Rs/Quintal
Bilsi,35,Tonnes,NR,Hybrid,1550,1650,1600,Rs/Quintal
Dibiapur,23.6,Tonnes,NR,Hybrid,1450,1550,1500,Rs/Quintal
Divai,6,Tonnes,NR,Hybrid,1480,1500,1490,Rs/Quintal
Etah,150,Tonnes,NR,Hybrid,1530,1600,1575,Rs/Quintal
Fatehabad,26,Tonnes,NR,Deshi,1550,1650,1550,Rs/Quintal
Ganjdudwara,38,Tonnes,NR,Local,1340,1360,1350,Rs/Quintal
Jangipura,10,Tonnes,NR,Deshi,1480,1560,1500,Rs/Quintal
Jarar,12,Tonnes,NR,Deshi,1500,1560,1530,Rs/Quintal
Jhijhank,0.4,Tonnes,NR,Other,1750,1950,1850,Rs/Quintal
Kasganj,210,Tonnes,NR,Hybrid,1570,1630,1600,Rs/Quintal
Khair,15,Tonnes,NR,Hybrid,1560,1630,1590,Rs/Quintal
Kishunpur,25,Tonnes,NR,Other,1300,1500,1400,Rs/Quintal
